Tournament,Season,Format,Team_Name,Team_ID,Division_ID,Final_Position,Finish_Type,Position,Champion,Runner_Up,Division_Position,Pool_Label,Matches_Played,Wins,Losses,Ties,No_Results,Points,Net_Run_Rate
CSA Women's Provincial League 2010/11,10/11,List A,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Highveld,8,3,5,0,0,14,-3.058
CSA Women's Provincial League 2010/11,10/11,List A,Lions,LION,D1,,SEMI_FINALIST,1,0,0,1,Highveld,8,7,1,0,0,35,3.64
CSA Women's Provincial League 2010/11,10/11,List A,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Highveld,8,2,5,0,0,12,-1.663
CSA Women's Provincial League 2010/11,10/11,List A,Titans,TITA,D1,1,CHAMPION,1,1,0,2,Highveld,8,6,1,0,0,32,4.387
CSA Women's Provincial League 2010/11,10/11,List A,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Central,8,3,5,0,0,13,-0.813
CSA Women's Provincial League 2010/11,10/11,List A,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,West/East,10,5,5,0,0,25,1.193
CSA Women's Provincial League 2010/11,10/11,List A,Western Province,WEST,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,West/East,10,7,2,0,0,37,3.061
CSA Women's Provincial League 2011/12,11/12,List A,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,West/East,10,4,6,0,0,19,0.209
CSA Women's Provincial League 2011/12,11/12,List A,Boland,BOLA,D1,,SEMI_FINALIST,2,0,0,2,West/East,10,7,3,0,0,35,2.664
CSA Women's Provincial League 2011/12,11/12,List A,Dolphins,DOLP,D1,,SEMI_FINALIST,1,0,0,1,Central,8,7,1,0,0,35,3.124
CSA Women's Provincial League 2011/12,11/12,List A,Dragons,DRAG,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Central,8,2,6,0,0,10,-0.821
CSA Women's Provincial League 2011/12,11/12,List A,Eastern Storm,STOR,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Highveld,8,3,5,0,0,15,-1.47
CSA Women's Provincial League 2011/12,11/12,List A,Heat,HEAT,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Central,8,5,3,0,0,23,0.494
CSA Women's Provincial League 2011/12,11/12,List A,Iinyathi,IINY,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,West/East,10,4,5,0,0,21,0.149
CSA Women's Provincial League 2011/12,11/12,List A,Kei,KEI,D1,,ELIMINATED_POOL_STAGE,6,0,0,6,West/East,10,0,10,0,0,0,-6.858
CSA Women's Provincial League 2011/12,11/12,List A,Knights,KNIG,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Central,8,1,6,0,1,7,-2.353
CSA Women's Provincial League 2011/12,11/12,List A,Limpopo Lillies,LIMP,D1,,ELIMINATED_POOL_STAGE,5,0,0,5,Highveld,8,1,7,0,0,5,-3.862
CSA Women's Provincial League 2011/12,11/12,List A,Lions,LION,D1,,ELIMINATED_POOL_STAGE,2,0,0,2,Highveld,8,5,2,0,1,27,2.38
CSA Women's Provincial League 2011/12,11/12,List A,Rhinos,RHIN,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,Highveld,8,2,5,0,1,11,-2.031
CSA Women's Provincial League 2011/12,11/12,List A,Titans,TITA,D1,1,CHAMPION,1,1,0,1,Highveld,8,8,0,0,0,40,4.678
CSA Women's Provincial League 2011/12,11/12,List A,Tuskers,TUSK,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Central,8,4,3,0,1,21,-0.525
CSA Women's Provincial League 2011/12,11/12,List A,Warriors,EAST,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,West/East,10,4,5,0,0,21,0.416
CSA Women's Provincial League 2011/12,11/12,List A,Western Province,WEST,D1,2,RUNNER_UP,2,0,1,1,West/East,10,10,0,0,0,50,3.263
CSA Women's Provincial T20 Competition 2012/13,12/13,T20,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,3,0,0,3,Group A,2,0,2,0,0,0,-1.52
CSA Women's Provincial League 2012/13,12/13,List A,Badgers,BADG,D1,,ELIMINATED_POOL_STAGE,4,0,0,4,West/East,10,4,6,0,0,18,-0.168
